source,destination,distance_in_km,time_of_day,traffic_level,weather,route_risk,delay_probability,risk_level,time_delay
Meerut,Mathura,70,Morning,High,Clear,9.859884731,0.271932219,Medium,9.336161354
Delhi,Mathura,20,Night,Low,Rain,7.790616887,0.997655059,Medium,2.483630148
Sonipat,Mathura,160,Afternoon,High,Clear,9.75572227,0.999874884,High,1.759884303
Faridabad,Ghaziabad,22,Afternoon,Low,Clear,4.556859719,0.315786351,Low,6.913686186
Delhi,Gurugram,20,Evening,High,Storm,9.907494937,0.997638266,High,4.029164108
Faridabad,Meerut,28,Night,Low,Clear,9.946925808,0.655704414,Medium,9.407645531
Noida,Meerut,18,Evening,Low,Clear,4.568095912,0.800399583,Low,1.36345525
Ghaziabad,Noida,18,Evening,High,Storm,8.935977652,0.960055853,High,0.94307452
Faridabad,Sonipat,28,Evening,Medium,Storm,9.732294875,0.914767873,Medium,9.998076746
Ghaziabad,Delhi,20,Night,Low,Storm,5.549896748,0.936308046,Low,6.053256429
Meerut,Delhi,20,Morning,High,Storm,9.402304818,0.780653392,Medium,3.669438188
Noida,Gurugram,18,Night,High,Clear,9.746896624,0.935765116,Medium,3.483441371
Ghaziabad,Mathura,22,Morning,High,Clear,0.659441758,0.915956479,Low,3.769587231
Meerut,Delhi,20,Evening,Medium,Clear,9.098045325,0.966478068,Medium,5.115671629
Sonipat,Faridabad,28,Morning,Medium,Clear,1.647007253,0.69773902,Medium,9.163145184
Delhi,Meerut,20,Afternoon,Low,Rain,9.993760002,0.829673601,Medium,1.294261348
Sonipat,Delhi,20,Afternoon,High,Clear,3.194640039,0.97103203,Low,5.506829296
Noida,Faridabad,18,Night,Low,Storm,8.863880792,0.999767285,Medium,9.574206403
Gurugram,Mathura,32,Evening,Medium,Clear,6.258396179,0.998528624,Medium,6.660346894
Faridabad,Delhi,20,Afternoon,Low,Clear,9.897083754,0.990341886,Medium,9.088424549
Sonipat,Delhi,20,Morning,High,Storm,6.394211698,0.645046867,Medium,5.564784105
Gurugram,Mathura,32,Morning,Low,Clear,8.359960674,0.953761978,Medium,1.013174099
Delhi,Ghaziabad,20,Afternoon,Low,Rain,3.3082168,0.834867895,Medium,9.024581698
Mathura,Delhi,20,Night,High,Clear,2.045454177,0.951102064,Low,9.937087597
Meerut,Noida,18,Morning,High,Storm,9.090576278,0.946179761,High,1.437207175
Sonipat,Delhi,20,Morning,Medium,Rain,9.99302607,0.999958003,Medium,8.58896316
Delhi,Ghaziabad,20,Evening,Low,Clear,9.999912056,0.30115295,Low,8.510191412
Sonipat,Ghaziabad,22,Afternoon,Medium,Rain,9.523197549,0.999351565,Medium,5.772285537
Gurugram,Ghaziabad,32,Morning,High,Clear,9.774742677,0.463869959,Low,7.055961459
Faridabad,Ghaziabad,22,Morning,High,Clear,2.065052548,0.438674532,Low,5.293006992
Sonipat,Meerut,70,Night,High,Clear,4.381762277,0.896479681,Medium,9.996739201
Meerut,Delhi,20,Evening,Low,Clear,8.696927458,0.971421373,Medium,0.733276349
Gurugram,Ghaziabad,32,Night,High,Rain,8.064880431,0.365460871,Medium,8.944223583
Faridabad,Ghaziabad,22,Morning,Low,Storm,7.612003898,0.999916928,Medium,5.818200138
Delhi,Ghaziabad,20,Evening,High,Storm,4.881061942,0.830305072,Low,8.043494541
Delhi,Meerut,20,Afternoon,High,Rain,9.769587468,0.99996831,Medium,7.384030481
Faridabad,Gurugram,32,Morning,Low,Rain,1.807679016,0.999948301,Medium,9.999874181
Faridabad,Noida,18,Morning,High,Rain,9.820352394,0.399694561,Medium,9.083282106
Meerut,Mathura,70,Afternoon,Medium,Rain,9.875949557,0.012287054,Medium,2.945797575
Sonipat,Mathura,160,Afternoon,Low,Clear,7.808483822,0.019530041,Medium,5.092926831
Sonipat,Noida,18,Afternoon,High,Rain,2.828935226,0.752166931,Medium,0.522043844
Meerut,Noida,18,Morning,High,Clear,9.893355352,0.900658152,Medium,6.860703863
Gurugram,Sonipat,32,Afternoon,High,Clear,9.878660069,0.616689713,Medium,9.950969268
Faridabad,Gurugram,32,Afternoon,Low,Storm,4.97347894,0.872546648,Low,8.933650935
Meerut,Sonipat,70,Morning,High,Storm,4.192759845,0.999406508,High,5.01596345
Meerut,Sonipat,70,Night,High,Storm,2.770457096,0.999976615,High,2.122752232
Mathura,Meerut,70,Evening,Medium,Rain,4.563455056,0.657828233,Medium,0.171649826
Mathura,Meerut,70,Night,High,Rain,9.280208861,0.844831255,Medium,7.640725258
Mathura,Delhi,20,Evening,Medium,Storm,9.215833923,0.999962836,Medium,3.102248839
Mathura,Gurugram,32,Afternoon,High,Clear,6.930060461,0.312142942,Low,9.99561752
Gurugram,Faridabad,32,Night,High,Storm,8.223011393,0.574233995,Low,3.368932873
Mathura,Noida,18,Morning,High,Clear,3.549007447,0.097461191,Low,9.181575945
Faridabad,Ghaziabad,22,Evening,Medium,Rain,1.332684167,0.647782916,Medium,9.595991431
Faridabad,Delhi,20,Night,Medium,Clear,9.882260658,0.166626162,Medium,3.405370159
Noida,Ghaziabad,18,Afternoon,Low,Storm,4.937132243,0.857610508,Low,2.634380146
Delhi,Noida,20,Evening,Low,Clear,9.996403552,0.999959626,Medium,9.672812175
Noida,Faridabad,18,Evening,Low,Storm,1.934009047,0.984859013,Low,3.315581332
Noida,Meerut,18,Morning,High,Clear,9.983363168,0.998441839,Medium,9.899894008
Faridabad,Sonipat,28,Morning,High,Rain,1.346294149,0.738270832,Medium,0.291885705
Sonipat,Ghaziabad,22,Afternoon,High,Clear,9.916597974,0.999508875,Medium,9.928499157
Noida,Faridabad,18,Night,Low,Storm,4.986714867,0.881681967,Low,6.319197867
Sonipat,Delhi,20,Afternoon,Low,Storm,5.71601967,0.95303945,Low,6.152374319
Mathura,Meerut,70,Morning,Medium,Clear,7.232161162,0.961406125,Medium,8.330906351
Delhi,Faridabad,20,Evening,Low,Clear,9.315373955,0.237498656,Low,0.963028589
Sonipat,Faridabad,28,Afternoon,Low,Rain,9.799216934,0.074048463,Medium,7.395818476
Meerut,Delhi,20,Evening,Medium,Storm,6.171982113,0.919659335,Medium,9.301419637
Ghaziabad,Meerut,22,Evening,High,Rain,0.321285434,0.587081677,Low,7.177008904
Delhi,Sonipat,20,Night,Low,Storm,4.577293647,0.840645496,Low,1.930350971
Ghaziabad,Meerut,22,Night,High,Storm,9.839840171,0.813035038,Medium,4.754824065
Meerut,Faridabad,28,Morning,High,Storm,5.997345994,0.979497368,Low,2.819456363
Faridabad,Delhi,20,Morning,Medium,Storm,5.096612519,0.732223654,Medium,9.787080837
Sonipat,Faridabad,28,Evening,High,Clear,5.025373714,0.940419526,Low,9.488012095
Ghaziabad,Meerut,22,Morning,Low,Clear,8.542235856,0.660001382,Medium,8.195748938
Meerut,Gurugram,32,Afternoon,High,Storm,9.984909616,0.900112929,High,1.967232478
Delhi,Mathura,20,Morning,Low,Storm,6.060190486,0.740590077,Medium,7.530629998
Delhi,Mathura,20,Evening,High,Clear,0.029594783,0.925073404,Low,7.453510268
Noida,Gurugram,18,Night,High,Storm,0.083453991,0.98529099,Low,9.964031736
Mathura,Delhi,20,Evening,Low,Clear,5.743657802,0.736353352,Low,9.750748499
Meerut,Sonipat,70,Afternoon,High,Storm,9.96983957,0.926753676,High,0.268428363
Faridabad,Delhi,20,Evening,Low,Storm,7.225216521,0.98982211,Medium,9.807272955
Noida,Mathura,18,Evening,Medium,Rain,4.673723341,0.553099751,Medium,0.354465655
Noida,Mathura,18,Afternoon,Medium,Rain,1.181055603,0.999957924,Medium,5.566564231
Ghaziabad,Gurugram,32,Morning,Low,Rain,2.866421703,0.621875006,Medium,6.659597287
Ghaziabad,Delhi,20,Evening,Medium,Clear,1.607276465,0.999840792,Medium,8.633692624
Gurugram,Faridabad,32,Morning,High,Storm,7.050314,0.283582033,Low,3.119609486
Meerut,Delhi,20,Night,Medium,Storm,9.996358413,0.016897094,Medium,6.912396636
Meerut,Delhi,20,Evening,Medium,Storm,0.002795003,0.20870181,Low,6.321907042
Delhi,Sonipat,20,Evening,Low,Clear,9.999893171,0.983494568,Medium,0.436804147
Gurugram,Faridabad,32,Afternoon,Medium,Rain,3.46987765,0.924072248,Medium,8.969549642
Noida,Mathura,18,Night,High,Storm,9.883657854,0.975596908,High,7.698684105
Faridabad,Ghaziabad,22,Morning,High,Storm,9.999820671,0.985431228,High,4.779322363
Sonipat,Ghaziabad,22,Night,Medium,Clear,7.565947969,0.282910865,Medium,1.5103043
Faridabad,Gurugram,32,Afternoon,Medium,Rain,9.940353771,0.983032384,Medium,6.346634576
Faridabad,Meerut,28,Morning,Low,Clear,9.978870103,0.229527437,Low,9.901206148
Noida,Ghaziabad,18,Evening,Medium,Rain,9.454252828,0.532297997,Medium,0.841507846
Mathura,Delhi,20,Afternoon,Low,Clear,9.850867871,0.930121716,Medium,3.366447363
Mathura,Ghaziabad,22,Evening,High,Clear,9.995171715,0.999786179,Medium,1.332840191
Gurugram,Meerut,32,Afternoon,Low,Rain,9.218130633,0.002539695,Medium,1.552083763
Meerut,Mathura,70,Evening,Low,Clear,9.998828495,0.999395388,Medium,8.021640838
Mathura,Ghaziabad,22,Evening,High,Clear,8.280417815,0.813181067,Medium,9.999564584
Faridabad,Meerut,28,Afternoon,High,Storm,9.99991291,0.13568133,Low,1.878556926
Delhi,Noida,20,Afternoon,Medium,Storm,9.222419348,0.999137276,Medium,1.279945419
Meerut,Ghaziabad,22,Evening,Low,Storm,1.441420785,0.037411772,Low,9.998827627
Meerut,Delhi,20,Morning,Medium,Clear,8.161039679,0.999951235,Medium,7.470879518
Meerut,Sonipat,70,Afternoon,Low,Clear,9.999419413,0.955398504,Medium,4.221307252
Faridabad,Meerut,28,Night,Low,Rain,3.386671123,0.99897641,Medium,9.946418895
Sonipat,Ghaziabad,22,Afternoon,Low,Clear,8.807021409,0.804160125,Medium,1.272562583
Noida,Gurugram,18,Afternoon,Medium,Clear,0.965309426,0.556478165,Low,3.056658658
Gurugram,Faridabad,32,Morning,High,Clear,0.466287142,0.999592614,Low,0.149793557
Meerut,Ghaziabad,22,Afternoon,Medium,Storm,0.84616944,0.99847066,Medium,9.975883534
Sonipat,Faridabad,28,Morning,Medium,Rain,9.967304606,0.999996509,Medium,9.310266082
Mathura,Sonipat,160,Morning,Low,Storm,8.728053379,0.908409975,High,6.111879183
Mathura,Gurugram,32,Morning,Low,Storm,0.038936483,0.570846709,Low,9.997565821
Delhi,Noida,20,Morning,High,Storm,9.710449773,0.988381589,High,8.4061021
Delhi,Meerut,20,Morning,Low,Rain,9.999320076,0.980128997,Medium,1.975268905
Mathura,Sonipat,160,Night,High,Storm,4.939769932,0.014091896,Low,4.583518609
Delhi,Sonipat,20,Afternoon,High,Clear,7.738902198,0.822805583,Medium,9.941675398
Noida,Gurugram,18,Afternoon,Medium,Clear,9.484437402,0.62204267,Medium,7.394811505
Delhi,Meerut,20,Afternoon,Low,Clear,6.655905429,0.366816762,Low,6.285538632
Noida,Faridabad,18,Morning,Medium,Storm,8.510464348,0.256705081,Medium,0.647401351
Ghaziabad,Gurugram,32,Night,Medium,Storm,9.735936598,0.999947356,Medium,8.780874573
Noida,Delhi,20,Afternoon,High,Rain,9.994418328,0.543906578,Medium,9.351664614
Gurugram,Faridabad,32,Night,Low,Clear,9.934764274,0.358124857,Low,9.87587786
Noida,Gurugram,18,Evening,Low,Clear,9.239096787,0.039801642,Low,1.786560585
Ghaziabad,Delhi,20,Night,Medium,Storm,8.889341788,0.965511902,Medium,1.998662185
Ghaziabad,Faridabad,22,Evening,High,Rain,2.536774307,0.759936404,Medium,1.418184696
Mathura,Gurugram,32,Morning,Low,Clear,9.883846093,0.454359076,Low,1.541427709
Meerut,Faridabad,28,Morning,High,Storm,9.766603169,0.917759123,High,6.875838388
Gurugram,Sonipat,32,Night,Medium,Rain,6.89545322,0.273630045,Medium,0.494492042
Noida,Sonipat,18,Afternoon,High,Storm,1.236970951,0.901261271,Low,9.264313408
Meerut,Noida,18,Night,Medium,Clear,1.275805253,0.754682654,Medium,9.974680036
Mathura,Meerut,70,Night,High,Clear,2.385115451,0.991119373,Medium,4.57962129
Faridabad,Ghaziabad,22,Morning,Medium,Storm,8.677050966,0.474168366,Medium,0.198768437
Mathura,Gurugram,32,Evening,Medium,Storm,6.438921305,0.958315603,Medium,9.957476978
Meerut,Noida,18,Evening,High,Storm,6.554481515,0.703365768,Medium,1.59595019
Sonipat,Meerut,70,Afternoon,Medium,Storm,9.997369781,0.974219258,High,9.411365799
Faridabad,Ghaziabad,22,Morning,Medium,Clear,8.166900578,0.998916518,Medium,6.333169492
Mathura,Meerut,70,Afternoon,Medium,Storm,8.458205141,0.996286671,Medium,9.842105028
Delhi,Mathura,20,Morning,Low,Storm,3.967927222,0.976989512,Low,5.004553793
Mathura,Gurugram,32,Morning,High,Clear,6.829114361,0.950818061,Medium,1.882812089
Mathura,Ghaziabad,22,Night,Medium,Rain,5.844549818,0.999887105,Medium,1.444373519
Delhi,Sonipat,20,Evening,Medium,Clear,7.752512783,0.999978283,Medium,1.53013172
Ghaziabad,Mathura,22,Night,Medium,Rain,5.772257568,0.534766661,Medium,9.072513512
Meerut,Sonipat,70,Morning,High,Storm,8.679329357,0.989378244,High,6.075973346
Meerut,Noida,18,Evening,High,Storm,8.55697188,0.828905868,Medium,0.061493947
Delhi,Faridabad,20,Evening,Medium,Clear,5.792884602,0.999999999,Medium,3.352203066
Delhi,Sonipat,20,Morning,High,Rain,9.526246643,0.980244884,Medium,1.892452533
Meerut,Gurugram,32,Evening,Medium,Storm,9.99999184,0.907875648,Medium,9.762155628
Noida,Gurugram,18,Night,Low,Storm,9.939290983,0.561018892,Low,9.550117495
Faridabad,Sonipat,28,Afternoon,High,Storm,9.984775629,0.279563215,Low,1.015902649
Delhi,Gurugram,20,Evening,High,Clear,7.254162905,0.556142095,Low,7.15293339
Mathura,Delhi,20,Night,High,Clear,9.919072453,0.782007988,Medium,9.978282758
Gurugram,Noida,18,Evening,High,Storm,9.988029999,0.844152092,Medium,6.980918471
Noida,Mathura,18,Afternoon,Low,Storm,4.580492309,0.999818875,Low,0.215618128
Meerut,Gurugram,32,Afternoon,Medium,Rain,7.172444516,0.463616067,Medium,9.993496757
Mathura,Gurugram,32,Night,High,Rain,9.109239736,0.750321171,Medium,6.432138962
Faridabad,Mathura,28,Night,High,Storm,9.415171704,0.361699277,Low,1.635958803
Ghaziabad,Gurugram,32,Morning,Medium,Storm,9.071964154,0.756054758,Medium,8.668159922
Noida,Ghaziabad,18,Afternoon,Low,Clear,9.465619447,0.636651321,Medium,2.477880398
Meerut,Delhi,20,Evening,Medium,Clear,3.020791959,0.999244075,Medium,2.587621644
Meerut,Sonipat,70,Night,Low,Rain,1.166944133,0.669836672,Medium,9.992115236
Mathura,Gurugram,32,Afternoon,High,Rain,0.883079434,0.90145318,Medium,8.862925908
Delhi,Faridabad,20,Night,Low,Clear,5.398095317,0.563710394,Low,1.781720591
Gurugram,Mathura,32,Afternoon,High,Storm,9.399542831,0.879742703,High,9.083514363
Mathura,Delhi,20,Night,High,Storm,0.569904549,0.999999998,Low,5.50720509
Faridabad,Mathura,28,Morning,High,Storm,9.888806025,0.999924163,High,7.326503312
Gurugram,Delhi,20,Morning,Low,Storm,8.070378246,0.977611445,Medium,0.609423444
Noida,Faridabad,18,Afternoon,Medium,Clear,9.998431382,0.857341034,Medium,1.609933515
Faridabad,Ghaziabad,22,Afternoon,Low,Storm,5.490930951,0.87684757,Low,1.726050515
Ghaziabad,Delhi,20,Afternoon,Low,Rain,7.619767507,0.63527364,Medium,3.334824722
Ghaziabad,Sonipat,22,Afternoon,Low,Rain,1.943546581,0.999888482,Medium,8.157066606
Noida,Faridabad,18,Evening,High,Storm,6.615322437,0.999827919,Medium,5.298756679
Faridabad,Noida,18,Afternoon,Low,Clear,9.845626483,0.750422748,Medium,0.568071258
Meerut,Mathura,70,Morning,High,Clear,4.839380435,0.999917655,Medium,8.841478298
Meerut,Delhi,20,Afternoon,Medium,Clear,9.818491519,0.963646266,Medium,0.376127964
Ghaziabad,Delhi,20,Morning,Medium,Storm,7.211618264,0.999846516,Medium,9.170760808
Faridabad,Ghaziabad,22,Morning,High,Clear,9.95345178,0.950645365,Medium,0.301538949
Sonipat,Mathura,160,Evening,Medium,Storm,0.044215137,0.99688133,Medium,9.141761498
Sonipat,Faridabad,28,Morning,Medium,Clear,7.355368037,0.92313543,Medium,8.716930197
Delhi,Sonipat,20,Afternoon,Medium,Storm,7.468371084,0.231277141,Medium,1.31386445
Meerut,Sonipat,70,Afternoon,High,Clear,9.8932052,0.26399463,Medium,0.452486961
Mathura,Gurugram,32,Morning,Low,Rain,7.847472599,0.869507293,Medium,9.209348931
Faridabad,Noida,18,Night,High,Rain,9.945337487,0.972829494,Medium,2.905753076
Mathura,Meerut,70,Evening,High,Clear,9.51436198,0.897646216,High,9.736593474
Faridabad,Delhi,20,Morning,Medium,Clear,9.654724794,0.802357461,Medium,8.944777309
Delhi,Meerut,20,Evening,Medium,Clear,6.108156861,0.999116047,Medium,1.599979367
Gurugram,Sonipat,32,Evening,Medium,Storm,9.781345357,0.982631839,Medium,9.076035292
Gurugram,Meerut,32,Afternoon,Medium,Rain,9.999795246,0.999909955,Medium,9.989491903
Delhi,Gurugram,20,Night,High,Clear,0.016802376,0.120633482,Low,9.698036638
Noida,Faridabad,18,Evening,Low,Storm,4.051366455,0.999991935,Low,8.728813704
Meerut,Ghaziabad,22,Evening,Low,Clear,4.668690021,0.998032197,Low,5.569309622
Delhi,Gurugram,20,Night,Low,Rain,9.305675419,0.976044175,Medium,1.750453743
Meerut,Faridabad,28,Evening,Low,Rain,9.96382266,0.999947059,Medium,7.053330285
Faridabad,Ghaziabad,22,Morning,High,Clear,5.106806904,0.09203274,Low,0.569954823
Gurugram,Mathura,32,Morning,High,Rain,7.733710878,0.76131958,Medium,5.805417557
Sonipat,Faridabad,28,Morning,Low,Rain,1.80456977,0.131441477,Low,7.590264285
Ghaziabad,Mathura,22,Night,Low,Rain,9.830873685,0.999889935,Medium,9.875746625
Meerut,Noida,18,Night,High,Clear,9.864598652,0.65228433,Medium,5.204617637
Ghaziabad,Mathura,22,Morning,Low,Rain,9.990551884,0.999037667,Medium,1.593329171
Noida,Delhi,20,Afternoon,Medium,Storm,7.12194974,0.985312041,Medium,1.237725081
Faridabad,Delhi,20,Morning,High,Rain,9.46625006,0.236908033,Medium,1.097151096
Faridabad,Mathura,28,Evening,Low,Storm,8.784923298,0.504500317,Low,5.665907146
Noida,Meerut,18,Morning,Low,Rain,8.152912648,0.129301172,Medium,9.128715897
Ghaziabad,Sonipat,22,Evening,Low,Clear,6.918770976,0.951688592,Medium,9.930293781
Meerut,Faridabad,28,Afternoon,Low,Clear,6.500780399,0.981347743,Medium,2.321278726
Noida,Faridabad,18,Morning,Low,Clear,1.322089568,0.693074593,Low,0.968069146
Sonipat,Noida,18,Morning,Low,Storm,6.470261196,0.005396156,Low,9.994392978
Noida,Meerut,18,Night,High,Storm,9.608398908,0.9934323,High,9.851840542
Faridabad,Delhi,20,Afternoon,High,Rain,9.992990962,0.154262711,Medium,1.987135784
Meerut,Mathura,70,Night,High,Rain,9.999987671,0.89566376,High,1.192422529
Gurugram,Faridabad,32,Evening,Medium,Clear,9.238867308,0.951065829,Medium,2.26123308
Gurugram,Mathura,32,Evening,High,Storm,6.913531965,0.974132992,Medium,8.501479426
Ghaziabad,Mathura,22,Afternoon,High,Clear,8.781085829,0.485401075,Low,9.136606034
Mathura,Faridabad,28,Evening,High,Clear,9.71660366,0.241646869,Low,9.919622361
Sonipat,Gurugram,32,Afternoon,High,Clear,4.430719098,0.493610945,Low,9.496022525
Sonipat,Meerut,70,Morning,High,Storm,0.849100584,0.281873986,Low,1.725420082
Meerut,Gurugram,32,Morning,Low,Rain,9.149250617,0.854072784,Medium,7.729654766
Meerut,Mathura,70,Morning,Low,Storm,9.998733307,0.998706684,High,9.816698943
Gurugram,Faridabad,32,Morning,High,Storm,0.106839137,0.831138014,Low,0.218910947
Mathura,Delhi,20,Night,Low,Storm,9.548921617,0.586304621,Low,9.823314112
Meerut,Faridabad,28,Morning,Low,Storm,9.999967615,0.904506662,Medium,9.254535194
Faridabad,Delhi,20,Afternoon,High,Clear,7.539595986,0.428121484,Low,8.905442582
Ghaziabad,Meerut,22,Night,Medium,Clear,7.608148288,0.964892418,Medium,1.056882141
Delhi,Sonipat,20,Morning,Medium,Clear,9.971837914,0.799638104,Medium,1.940615849
Mathura,Ghaziabad,22,Morning,Low,Storm,9.824385641,0.876332789,Medium,5.60620881
Gurugram,Sonipat,32,Night,Low,Rain,9.973594518,0.357891106,Medium,2.162945703
Sonipat,Faridabad,28,Morning,Medium,Rain,8.074665422,0.997834442,Medium,7.14199607
Noida,Faridabad,18,Afternoon,Low,Rain,1.656019228,0.999904084,Medium,8.265240506
Gurugram,Ghaziabad,32,Night,Low,Clear,1.685112416,0.878589696,Low,9.77467441
Sonipat,Ghaziabad,22,Morning,High,Storm,9.504063063,0.999997449,High,1.180521695
Ghaziabad,Delhi,20,Night,High,Storm,9.764658574,0.849729763,Medium,7.976251377
Mathura,Ghaziabad,22,Morning,High,Rain,1.326144117,0.329915131,Low,4.163170051
Gurugram,Faridabad,32,Afternoon,High,Clear,9.988044036,0.236194516,Low,9.190963186
Meerut,Ghaziabad,22,Morning,Low,Storm,9.595698264,0.841489822,Medium,8.284939607
Ghaziabad,Mathura,22,Afternoon,Low,Clear,2.452215905,0.016095679,Low,1.900644875
Meerut,Gurugram,32,Evening,High,Rain,9.99898034,0.080821765,Medium,9.99988228
Noida,Meerut,18,Afternoon,Low,Clear,9.814543545,0.175712488,Low,2.631843755
Gurugram,Noida,18,Morning,Medium,Storm,0.328984039,0.944966934,Medium,5.894272043
Delhi,Faridabad,20,Night,High,Rain,6.372407081,0.757011215,Medium,0.951883188
Noida,Sonipat,18,Night,High,Clear,5.408889625,0.676148637,Low,1.98418112
Faridabad,Gurugram,32,Night,Low,Storm,9.88021831,0.374253022,Low,8.456843891
Meerut,Ghaziabad,22,Night,Low,Storm,9.427174456,0.856778153,Medium,8.787083876
Gurugram,Ghaziabad,32,Night,Low,Storm,9.942477809,0.514995875,Low,1.74093422
Delhi,Ghaziabad,20,Evening,Medium,Clear,0.596951166,0.592894533,Low,1.946582061
Noida,Gurugram,18,Morning,Low,Storm,8.252990356,0.453407043,Low,9.483736606
Ghaziabad,Faridabad,22,Afternoon,High,Rain,6.410095148,0.89032622,Medium,9.786457828
Mathura,Delhi,20,Night,High,Rain,5.953744575,0.536757569,Low,7.463086296
Mathura,Faridabad,28,Morning,Medium,Storm,9.949135919,0.927897153,Medium,5.923517344
Ghaziabad,Delhi,20,Afternoon,High,Storm,2.605605223,0.996843017,Low,2.879473251
Delhi,Faridabad,20,Afternoon,Medium,Clear,9.998783809,0.050735515,Medium,2.782391879
Faridabad,Delhi,20,Night,High,Storm,9.99866277,0.105721332,Low,4.107556518
Meerut,Faridabad,28,Evening,High,Storm,9.990550756,0.217492428,Low,1.017459111
Faridabad,Noida,18,Afternoon,Low,Storm,8.713363012,0.097460286,Low,5.454129393
Sonipat,Faridabad,28,Morning,High,Clear,9.968824116,0.405377135,Low,8.50437262
Faridabad,Ghaziabad,22,Morning,Medium,Clear,3.704554094,0.594887783,Low,1.991057345
Meerut,Mathura,70,Evening,High,Rain,2.421689864,0.117377873,Medium,7.546610762
Delhi,Gurugram,20,Night,Medium,Rain,9.594175682,0.994991133,Medium,1.933310105
Mathura,Noida,18,Evening,Medium,Rain,5.999496953,0.856468486,Medium,0.495010713
Noida,Gurugram,18,Evening,Low,Clear,7.440711939,0.022259421,Low,9.865447816
Sonipat,Gurugram,32,Morning,Medium,Storm,6.739575553,0.803178832,Medium,1.403444677
Meerut,Gurugram,32,Afternoon,Medium,Clear,9.999998752,0.991079419,Medium,1.218733778
Sonipat,Ghaziabad,22,Night,Medium,Storm,0.272492705,0.999999589,Medium,9.982037379
Mathura,Ghaziabad,22,Night,Medium,Storm,9.885432382,0.977187255,Medium,8.02326922
Mathura,Ghaziabad,22,Afternoon,Low,Storm,1.048408968,0.999989792,Low,6.529323982
Ghaziabad,Sonipat,22,Night,Low,Clear,2.647815942,0.99378591,Low,6.983572045
Mathura,Sonipat,160,Afternoon,Low,Storm,9.974710434,0.793027895,Medium,7.676328862
Delhi,Mathura,20,Evening,High,Rain,9.879752097,0.446755347,Medium,0.908643551
Ghaziabad,Delhi,20,Evening,Medium,Storm,9.984520101,0.98695145,Medium,9.967076623
Meerut,Faridabad,28,Afternoon,High,Storm,4.631302107,0.872452734,Low,7.781147822
Faridabad,Delhi,20,Night,Medium,Clear,7.191611276,0.006207297,Medium,8.12660112
Ghaziabad,Sonipat,22,Evening,Low,Clear,1.007653808,0.856630501,Low,9.865573321
Meerut,Ghaziabad,22,Night,High,Storm,8.52865761,0.785621514,Medium,5.222730355
Faridabad,Gurugram,32,Night,High,Clear,8.541938386,0.049551049,Low,5.976393771
Faridabad,Sonipat,28,Night,High,Storm,9.666783155,0.347741588,Low,9.724974591
Meerut,Mathura,70,Night,Low,Clear,9.198656237,0.832501879,Medium,6.359864221
Meerut,Ghaziabad,22,Morning,Medium,Clear,9.923062068,0.978398456,Medium,9.454725947
Meerut,Noida,18,Evening,Low,Clear,9.999061115,0.999147396,Medium,9.9870705
Faridabad,Sonipat,28,Morning,High,Rain,3.516544942,0.92899819,Medium,0.956006148
Meerut,Noida,18,Evening,Medium,Clear,9.484227946,0.868851154,Medium,3.917559104
Faridabad,Sonipat,28,Afternoon,High,Storm,1.004047219,0.98680376,Low,9.332788445
Mathura,Faridabad,28,Morning,High,Rain,6.944317325,0.999929201,Medium,7.980711429
Noida,Sonipat,18,Night,Medium,Rain,0.817426371,0.998882679,Medium,0.331846931
Delhi,Meerut,20,Afternoon,Medium,Storm,7.34425109,0.97500067,Medium,8.119196417
Noida,Faridabad,18,Evening,High,Rain,9.451295859,0.278125812,Medium,5.316622791
Mathura,Meerut,70,Evening,High,Rain,9.964968897,0.994609392,High,4.055034529
Mathura,Sonipat,160,Morning,Low,Rain,3.481111911,0.926543226,Medium,1.767224192
Ghaziabad,Faridabad,22,Afternoon,High,Storm,2.650336128,0.718753401,Low,1.246649263
Meerut,Faridabad,28,Morning,Medium,Rain,9.995128411,0.623659315,Medium,6.014720351
Meerut,Ghaziabad,22,Morning,High,Clear,0.576759535,0.982632304,Low,4.816731293
Delhi,Meerut,20,Night,Low,Storm,7.764107379,0.996150973,Medium,5.360360776
Sonipat,Mathura,160,Night,High,Storm,3.177966785,0.897524124,High,9.750458221
Gurugram,Meerut,32,Morning,Medium,Storm,0.01157396,0.99859682,Medium,8.305422405
Mathura,Gurugram,32,Afternoon,Low,Clear,9.999946124,0.984851421,Medium,1.362977957
Ghaziabad,Mathura,22,Night,Medium,Clear,8.100286074,0.14102097,Medium,8.320452156
Noida,Gurugram,18,Night,Low,Storm,5.370560239,0.862920551,Low,0.732852272
Ghaziabad,Delhi,20,Afternoon,Medium,Storm,2.072805873,0.98092157,Medium,6.586596215
Mathura,Meerut,70,Morning,High,Clear,8.870550439,0.949832564,High,0.957952323
Mathura,Delhi,20,Evening,High,Storm,6.123855416,0.321126076,Low,8.540010037
Sonipat,Mathura,160,Evening,Medium,Clear,5.55885479,0.949310973,Medium,5.664300532
Mathura,Meerut,70,Morning,High,Rain,9.383353938,0.96943072,High,0.410581779
Gurugram,Mathura,32,Morning,Medium,Storm,4.867779466,1,Medium,9.47373721
Delhi,Ghaziabad,20,Night,High,Rain,9.716859993,0.909884815,Medium,1.298932509
Faridabad,Meerut,28,Evening,High,Clear,8.175761454,0.892073913,Medium,7.061203519
